freq,mag
42.66,72.58E-3
43.65,70.94E-3
44.67,69.33E-3
45.71,67.76E-3
46.77,66.23E-3
47.86,64.73E-3
48.98,63.26E-3
50.12,61.82E-3
51.29,60.42E-3
52.48,59.05E-3
53.70,57.71E-3
54.95,56.40E-3
56.23,55.12E-3
57.54,53.87E-3
58.88,52.65E-3
60.26,51.45E-3
61.66,50.28E-3
63.10,49.14E-3
64.57,48.03E-3
66.07,46.94E-3
67.61,45.87E-3
69.18,44.83E-3
70.79,43.81E-3
72.44,42.81E-3
74.13,41.84E-3
75.86,40.89E-3
77.62,39.96E-3
79.43,39.05E-3
81.28,38.17E-3
83.18,37.30E-3
85.11,36.45E-3
87.10,35.62E-3
89.13,34.81E-3
91.20,34.02E-3
93.33,33.25E-3
95.50,32.49E-3
97.72,31.75E-3
100.0,31.03E-3
102.3,30.32E-3
104.7,29.63E-3
107.2,28.96E-3
109.6,28.30E-3
112.2,27.66E-3
114.8,27.03E-3
117.5,26.41E-3
120.2,25.81E-3
123.0,25.23E-3
125.9,24.65E-3
128.8,24.09E-3
131.8,23.54E-3
134.9,23.01E-3
138.0,22.48E-3
141.3,21.97E-3
144.5,21.47E-3
147.9,20.98E-3
151.4,20.51E-3
154.9,20.04E-3
158.5,19.58E-3
162.2,19.14E-3
166.0,18.70E-3
169.8,18.28E-3
173.8,17.86E-3
177.8,17.46E-3
182.0,17.06E-3
186.2,16.67E-3
190.5,16.29E-3
195.0,15.92E-3
199.5,15.56E-3
204.2,15.20E-3
208.9,14.86E-3
213.8,14.52E-3
218.8,14.19E-3
223.9,13.87E-3
229.1,13.55E-3
234.4,13.24E-3
239.9,12.94E-3
245.5,12.65E-3
251.2,12.36E-3
257.0,12.08E-3
263.0,11.80E-3
269.2,11.53E-3
275.4,11.27E-3
281.8,11.01E-3
288.4,10.76E-3
295.1,10.52E-3
302.0,10.28E-3
309.0,10.05E-3
316.2,9.817E-3
323.6,9.593E-3
331.1,9.375E-3
338.8,9.162E-3
346.7,8.953E-3
354.8,8.749E-3
363.1,8.550E-3
371.5,8.356E-3
380.2,8.165E-3
389.0,7.980E-3
398.1,7.798E-3
407.4,7.620E-3
416.9,7.447E-3
426.6,7.277E-3
436.5,7.112E-3
446.7,6.950E-3
457.1,6.792E-3
467.7,6.637E-3
478.6,6.486E-3
489.8,6.338E-3
501.2,6.194E-3
512.9,6.053E-3
524.8,5.915E-3
537.0,5.781E-3
549.5,5.649E-3
562.3,5.521E-3
575.4,5.395E-3
588.8,5.272E-3
602.6,5.152E-3
616.6,5.035E-3
631.0,4.920E-3
645.7,4.808E-3
660.7,4.699E-3
676.1,4.592E-3
691.8,4.487E-3
707.9,4.385E-3
724.4,4.285E-3
741.3,4.188E-3
758.6,4.092E-3
776.2,3.999E-3
794.3,3.908E-3
812.8,3.819E-3
831.8,3.732E-3
851.1,3.647E-3
871.0,3.564E-3
891.3,3.483E-3
912.0,3.404E-3
933.3,3.327E-3
955.0,3.251E-3
977.2,3.177E-3
1.000E3,3.104E-3
1.023E3,3.034E-3
1.047E3,2.965E-3
1.072E3,2.897E-3
1.096E3,2.831E-3
1.122E3,2.767E-3
1.148E3,2.704E-3
1.175E3,2.642E-3
1.202E3,2.582E-3
1.230E3,2.523E-3
1.259E3,2.466E-3
1.288E3,2.410E-3
1.318E3,2.355E-3
1.349E3,2.301E-3
1.380E3,2.249E-3
1.413E3,2.198E-3
1.445E3,2.148E-3
1.479E3,2.099E-3
1.514E3,2.051E-3
1.549E3,2.004E-3
1.585E3,1.959E-3
1.622E3,1.914E-3
1.660E3,1.871E-3
1.698E3,1.828E-3
1.738E3,1.786E-3
1.778E3,1.746E-3
1.820E3,1.706E-3
1.862E3,1.667E-3
1.905E3,1.629E-3
1.950E3,1.592E-3
1.995E3,1.556E-3
2.042E3,1.521E-3
2.089E3,1.486E-3
2.138E3,1.452E-3
2.188E3,1.419E-3
2.239E3,1.387E-3
2.291E3,1.355E-3
2.344E3,1.324E-3
2.399E3,1.294E-3
2.455E3,1.265E-3
2.512E3,1.236E-3
2.570E3,1.208E-3
2.630E3,1.180E-3
2.692E3,1.153E-3
2.754E3,1.127E-3
2.818E3,1.102E-3
2.884E3,1.076E-3
2.951E3,1.052E-3
3.020E3,1.028E-3
3.090E3,1.005E-3
3.162E3,981.8E-6
3.236E3,959.4E-6
3.311E3,937.6E-6
3.388E3,916.3E-6
3.467E3,895.4E-6
3.548E3,875.0E-6
3.631E3,855.1E-6
3.715E3,835.6E-6
3.802E3,816.6E-6
3.890E3,798.0E-6
3.981E3,779.9E-6
4.074E3,762.1E-6
4.169E3,744.8E-6
4.266E3,727.8E-6
4.365E3,711.3E-6
4.467E3,695.1E-6
4.571E3,679.3E-6
4.677E3,663.8E-6
4.786E3,648.7E-6
4.898E3,633.9E-6
5.012E3,619.5E-6
5.129E3,605.4E-6
5.248E3,591.6E-6
5.370E3,578.2E-6
5.495E3,565.0E-6
5.623E3,552.2E-6
5.754E3,539.6E-6
5.888E3,527.3E-6
6.026E3,515.3E-6
6.166E3,503.6E-6
6.310E3,492.1E-6
6.457E3,480.9E-6
6.607E3,470.0E-6
6.761E3,459.3E-6
6.918E3,448.8E-6
7.079E3,438.6E-6
7.244E3,428.7E-6
7.413E3,418.9E-6
7.586E3,409.4E-6
7.762E3,400.1E-6
7.943E3,391.0E-6
8.128E3,382.1E-6
8.318E3,373.4E-6
8.511E3,364.9E-6
8.710E3,356.6E-6
8.913E3,348.5E-6
9.120E3,340.5E-6
9.333E3,332.8E-6
