Cf,VeffA,VeffB,f,b
20.00E-12,25.29E-3,490.3E-3,2.898,5.514
38.00E-12,25.29E-3,490.3E-3,1.525,2.929
56.00E-12,25.29E-3,490.3E-3,1.035,1.996
74.00E-12,25.29E-3,490.3E-3,783.2E-3,1.516
92.00E-12,25.29E-3,490.3E-3,630.0E-3,1.223
110.0E-12,25.29E-3,490.3E-3,526.9E-3,1.027
128.0E-12,25.29E-3,490.3E-3,452.8E-3,885.5E-3
146.0E-12,25.29E-3,490.3E-3,397.0E-3,779.6E-3
164.0E-12,25.29E-3,490.3E-3,353.4E-3,697.2E-3
182.0E-12,25.29E-3,490.3E-3,318.4E-3,631.3E-3
200.0E-12,25.29E-3,490.3E-3,289.8E-3,577.6E-3
