freq,v_in, v_out
9.77E-01,1,9.07E-01
1,1,9.05E-01
1.023,1,9.03E-01
1.047,1,9.01E-01
1.072,1,8.99E-01
1.096,1,8.96E-01
1.122,1,8.94E-01
1.148,1,8.92E-01
1.175,1,8.89E-01
1.202,1,8.86E-01
1.23,1,8.84E-01
1.259,1,8.81E-01
1.288,1,8.78E-01
1.318,1,8.75E-01
1.349,1,8.72E-01
1.38,1,8.69E-01
1.413,1,8.65E-01
1.445,1,8.62E-01
1.479,1,8.58E-01
1.514,1,8.54E-01
1.549,1,8.51E-01
1.585,1,8.47E-01
1.622,1,8.42E-01
1.66,1,8.38E-01
1.698,1,8.34E-01
1.738,1,8.29E-01
1.778,1,8.25E-01
1.82,1,8.20E-01
1.862,1,8.15E-01
1.905,1,8.10E-01
1.95,1,8.05E-01
1.995,1,7.99E-01
2.042,1,7.94E-01
2.089,1,7.88E-01
2.138,1,7.83E-01
2.188,1,7.77E-01
2.239,1,7.71E-01
2.291,1,7.65E-01
2.344,1,7.58E-01
2.399,1,7.52E-01
2.455,1,7.45E-01
2.512,1,7.39E-01
2.57,1,7.32E-01
2.63,1,7.25E-01
2.692,1,7.18E-01
2.754,1,7.11E-01
2.818,1,7.04E-01
2.884,1,6.96E-01
2.951,1,6.89E-01
3.02,1,6.81E-01
3.09,1,6.73E-01
3.162,1,6.66E-01
3.236,1,6.58E-01
3.311,1,6.50E-01
3.388,1,6.42E-01
3.467,1,6.34E-01
3.548,1,6.26E-01
3.631,1,6.17E-01
3.715,1,6.09E-01
3.802,1,6.01E-01
3.89,1,5.93E-01
3.981,1,5.84E-01
4.074,1,5.76E-01
4.169,1,5.67E-01
4.266,1,5.59E-01
4.365,1,5.51E-01
4.467,1,5.42E-01
4.571,1,5.34E-01
4.677,1,5.25E-01
4.786,1,5.17E-01
4.898,1,5.09E-01
5.012,1,5.00E-01
5.129,1,4.92E-01
5.248,1,4.84E-01
5.37,1,4.75E-01
5.495,1,4.67E-01
5.623,1,4.59E-01
5.754,1,4.51E-01
5.888,1,4.43E-01
6.026,1,4.35E-01
6.166,1,4.27E-01
6.31,1,4.19E-01
6.457,1,4.12E-01
6.607,1,4.04E-01
6.761,1,3.96E-01
6.918,1,3.89E-01
7.079,1,3.81E-01
7.244,1,3.74E-01
7.413,1,3.67E-01
7.586,1,3.60E-01
7.762,1,3.53E-01
7.943,1,3.46E-01
8.128,1,3.39E-01
8.318,1,3.32E-01
8.511,1,3.25E-01
8.71,1,3.19E-01
8.913,1,3.12E-01
9.12,1,3.06E-01
9.333,1,3.00E-01
9.55,1,2.94E-01
9.772,1,2.88E-01
10,1,2.82E-01
10.23,1,2.76E-01
10.47,1,2.70E-01
10.72,1,2.64E-01
10.96,1,2.59E-01
11.22,1,2.53E-01
11.48,1,2.48E-01
11.75,1,2.43E-01
12.02,1,2.37E-01
12.3,1,2.32E-01
12.59,1,2.27E-01
12.88,1,2.23E-01
13.18,1,2.18E-01
13.49,1,2.13E-01
13.8,1,2.08E-01
14.13,1,2.04E-01
