time,v_out,v_in
3.000,1.749,900.0E-3
3.000,1.746,900.0E-3
3.001,1.740,900.0E-3
3.002,1.727,900.0E-3
3.004,1.704,900.0E-3
3.007,1.658,900.0E-3
3.012,1.598,900.0E-3
3.017,1.543,900.0E-3
3.022,1.491,900.0E-3
3.027,1.443,900.0E-3
3.032,1.398,900.0E-3
3.038,1.356,900.0E-3
3.043,1.317,900.0E-3
3.049,1.280,900.0E-3
3.054,1.245,900.0E-3
3.060,1.213,900.0E-3
3.066,1.182,900.0E-3
3.073,1.154,900.0E-3
3.079,1.128,900.0E-3
3.086,1.103,900.0E-3
3.093,1.081,900.0E-3
3.100,1.060,900.0E-3
3.108,1.041,900.0E-3
3.116,1.023,900.0E-3
3.124,1.008,900.0E-3
3.133,993.2E-3,900.0E-3
3.142,980.1E-3,900.0E-3
3.151,968.4E-3,900.0E-3
3.161,957.9E-3,900.0E-3
3.172,948.6E-3,900.0E-3
3.183,940.4E-3,900.0E-3
3.194,933.2E-3,900.0E-3
3.207,927.0E-3,900.0E-3
3.220,921.6E-3,900.0E-3
3.234,917.0E-3,900.0E-3
3.249,913.1E-3,900.0E-3
3.266,909.9E-3,900.0E-3
3.283,907.3E-3,900.0E-3
3.303,905.2E-3,900.0E-3
3.324,903.6E-3,900.0E-3
3.348,902.4E-3,900.0E-3
3.374,901.5E-3,900.0E-3
3.405,900.8E-3,900.0E-3
3.439,900.4E-3,900.0E-3
3.480,900.2E-3,900.0E-3
3.529,900.0E-3,900.0E-3
3.589,900.0E-3,900.0E-3
3.659,900.0E-3,900.0E-3
3.729,900.0E-3,900.0E-3
3.799,900.0E-3,900.0E-3
3.869,900.0E-3,900.0E-3
3.939,900.0E-3,900.0E-3
4.000,900.0E-3,900.0E-3
4.000,900.0E-3,901.5E-3
4.000,900.0E-3,904.5E-3
4.000,900.0E-3,910.6E-3
4.000,900.0E-3,922.6E-3
4.000,900.0E-3,946.8E-3
4.000,900.0E-3,995.0E-3
4.000,900.0E-3,1.092
4.000,900.0E-3,1.285
4.000,900.0E-3,1.542
4.000,900.0E-3,1.800
4.000,900.0E-3,1.800
4.000,900.0E-3,1.800
4.000,900.0E-3,1.800
4.000,900.0E-3,1.800
4.000,900.0E-3,1.800
4.000,900.0E-3,1.800
4.000,900.0E-3,1.800
4.000,900.0E-3,1.800
4.000,900.0E-3,1.800
4.000,900.0E-3,1.800
4.000,899.9E-3,1.800
4.000,899.9E-3,1.800
4.000,899.8E-3,1.800
4.000,899.6E-3,1.800
4.000,899.2E-3,1.800
4.000,898.4E-3,1.800
4.000,896.9E-3,1.800
4.000,893.8E-3,1.800
4.001,887.6E-3,1.800
4.002,875.5E-3,1.800
4.004,851.7E-3,1.800
4.007,806.1E-3,1.800
4.012,746.1E-3,1.800
4.017,690.6E-3,1.800
4.022,639.2E-3,1.800
4.027,591.1E-3,1.800
4.032,546.4E-3,1.800
4.038,504.5E-3,1.800
4.043,465.0E-3,1.800
4.049,427.9E-3,1.800
4.054,393.2E-3,1.800
4.060,360.6E-3,1.800
4.066,330.2E-3,1.800
4.073,301.9E-3,1.800
4.079,275.6E-3,1.800
4.086,251.2E-3,1.800
4.093,228.7E-3,1.800
4.100,208.0E-3,1.800
4.108,188.9E-3,1.800
4.116,171.5E-3,1.800
4.124,155.6E-3,1.800
4.133,141.2E-3,1.800
4.142,128.1E-3,1.800
4.151,116.4E-3,1.800
4.161,106.0E-3,1.800
4.172,96.65E-3,1.800
4.183,88.43E-3,1.800
4.194,81.23E-3,1.800
4.207,74.98E-3,1.800
4.220,69.59E-3,1.800
4.234,65.01E-3,1.800
4.249,61.15E-3,1.800
4.266,57.95E-3,1.800
4.283,55.34E-3,1.800
4.303,53.26E-3,1.800
4.324,51.63E-3,1.800
4.348,50.39E-3,1.800
4.374,49.48E-3,1.800
4.404,48.85E-3,1.800
4.439,48.44E-3,1.800
4.480,48.19E-3,1.800
4.529,48.06E-3,1.800
4.589,48.00E-3,1.800
4.659,47.99E-3,1.800
4.729,48.00E-3,1.800
4.799,48.00E-3,1.800
4.869,48.01E-3,1.800
4.939,48.01E-3,1.800
5.000,48.01E-3,1.800
5.000,48.01E-3,1.798
5.000,48.01E-3,1.795
5.000,48.01E-3,1.789
5.000,48.01E-3,1.777
5.000,48.01E-3,1.753
5.000,48.01E-3,1.705
5.000,48.01E-3,1.608
5.000,48.01E-3,1.415
5.000,48.01E-3,1.158
5.000,48.01E-3,900.0E-3
5.000,48.01E-3,900.0E-3
5.000,48.01E-3,900.0E-3
5.000,48.01E-3,900.0E-3
5.000,48.01E-3,900.0E-3
5.000,48.01E-3,900.0E-3
5.000,48.01E-3,900.0E-3
5.000,48.02E-3,900.0E-3
5.000,48.02E-3,900.0E-3
5.000,48.02E-3,900.0E-3
5.000,48.04E-3,900.0E-3
5.000,48.06E-3,900.0E-3
5.000,48.11E-3,900.0E-3
5.000,48.21E-3,900.0E-3
5.000,48.40E-3,900.0E-3
5.000,48.79E-3,900.0E-3
5.000,49.56E-3,900.0E-3
5.000,51.11E-3,900.0E-3
5.000,54.19E-3,900.0E-3
5.001,60.32E-3,900.0E-3
5.002,72.45E-3,900.0E-3
