numF,VeffA,VeffB,f,b
10.00,24.62E-3,313.5E-3,7.500,13.97
19.00,24.62E-3,313.5E-3,3.947,7.436
28.00,24.62E-3,313.5E-3,2.679,5.098
37.00,24.62E-3,313.5E-3,2.027,3.897
46.00,24.62E-3,313.5E-3,1.630,3.166
55.00,24.62E-3,313.5E-3,1.364,2.674
64.00,24.62E-3,313.5E-3,1.172,2.320
73.00,24.62E-3,313.5E-3,1.027,2.054
82.00,24.62E-3,313.5E-3,914.6E-3,1.846
91.00,24.62E-3,313.5E-3,824.2E-3,1.680
100.0,24.62E-3,313.5E-3,750.0E-3,1.543
