time (s),/Va (V),/Vout (V)
6.148,0.000,28.17E-3
6.185,0.000,28.17E-3
6.241,0.000,28.18E-3
6.311,0.000,28.18E-3
6.381,0.000,28.18E-3
6.451,0.000,28.18E-3
6.521,0.000,28.18E-3
6.591,0.000,28.18E-3
6.661,0.000,28.18E-3
6.731,0.000,28.18E-3
6.801,0.000,28.18E-3
6.871,0.000,28.18E-3
6.941,0.000,28.18E-3
7.000,0.000,28.18E-3
