numF,VeffA,VeffB,f,b
10.00,25.08E-3,236.1E-3,10.14,15.60
19.00,25.08E-3,236.1E-3,5.339,8.382
28.00,25.08E-3,236.1E-3,3.623,5.803
37.00,25.08E-3,236.1E-3,2.742,4.479
46.00,25.08E-3,236.1E-3,2.205,3.673
55.00,25.08E-3,236.1E-3,1.844,3.131
64.00,25.08E-3,236.1E-3,1.585,2.741
73.00,25.08E-3,236.1E-3,1.390,2.448
82.00,25.08E-3,236.1E-3,1.237,2.219
91.00,25.08E-3,236.1E-3,1.115,2.035
100.0,25.08E-3,236.1E-3,1.014,1.885
