freq,v_out,v_in
8.318,537.2E-3,1.000
8.511,528.6E-3,1.000
8.710,520.1E-3,1.000
8.913,511.6E-3,1.000
9.120,503.1E-3,1.000
9.333,494.6E-3,1.000
9.550,486.2E-3,1.000
9.772,477.8E-3,1.000
10.00,469.5E-3,1.000
10.23,461.3E-3,1.000
10.47,453.1E-3,1.000
10.72,444.9E-3,1.000
10.96,436.9E-3,1.000
11.22,428.9E-3,1.000
11.48,421.0E-3,1.000
11.75,413.2E-3,1.000
12.02,405.4E-3,1.000
12.30,397.7E-3,1.000
12.59,390.2E-3,1.000
12.88,382.7E-3,1.000
13.18,375.3E-3,1.000
13.49,368.0E-3,1.000
13.80,360.8E-3,1.000
14.13,353.7E-3,1.000
14.45,346.6E-3,1.000
14.79,339.7E-3,1.000
15.14,332.9E-3,1.000
15.49,326.2E-3,1.000
15.85,319.6E-3,1.000
16.22,313.1E-3,1.000
16.60,306.7E-3,1.000
16.98,300.4E-3,1.000
17.38,294.2E-3,1.000
17.78,288.1E-3,1.000
18.20,282.1E-3,1.000
18.62,276.2E-3,1.000
19.05,270.4E-3,1.000
19.50,264.7E-3,1.000
19.95,259.1E-3,1.000
20.42,253.6E-3,1.000
20.89,248.2E-3,1.000
21.38,242.9E-3,1.000
21.88,237.7E-3,1.000
22.39,232.6E-3,1.000
22.91,227.6E-3,1.000
23.44,222.7E-3,1.000
23.99,217.9E-3,1.000
24.55,213.2E-3,1.000
25.12,208.6E-3,1.000
25.70,204.0E-3,1.000
26.30,199.6E-3,1.000
26.92,195.2E-3,1.000
27.54,191.0E-3,1.000
28.18,186.8E-3,1.000
28.84,182.7E-3,1.000
29.51,178.7E-3,1.000
30.20,174.7E-3,1.000
30.90,170.9E-3,1.000
31.62,167.1E-3,1.000
32.36,163.4E-3,1.000
33.11,159.8E-3,1.000
33.88,156.2E-3,1.000
34.67,152.8E-3,1.000
35.48,149.4E-3,1.000
36.31,146.1E-3,1.000
37.15,142.8E-3,1.000
38.02,139.6E-3,1.000
38.90,136.5E-3,1.000
39.81,133.5E-3,1.000
40.74,130.5E-3,1.000
41.69,127.6E-3,1.000
42.66,124.7E-3,1.000
43.65,121.9E-3,1.000
44.67,119.2E-3,1.000
45.71,116.5E-3,1.000
46.77,113.9E-3,1.000
47.86,111.3E-3,1.000
48.98,108.8E-3,1.000
50.12,106.4E-3,1.000
51.29,104.0E-3,1.000
52.48,101.6E-3,1.000
53.70,99.36E-3,1.000
54.95,97.12E-3,1.000
56.23,94.93E-3,1.000
57.54,92.79E-3,1.000
58.88,90.70E-3,1.000
60.26,88.65E-3,1.000
61.66,86.65E-3,1.000
63.10,84.69E-3,1.000
64.57,82.78E-3,1.000
66.07,80.91E-3,1.000
67.61,79.08E-3,1.000
69.18,77.29E-3,1.000
70.79,75.54E-3,1.000
72.44,73.83E-3,1.000
74.13,72.16E-3,1.000
75.86,70.53E-3,1.000
77.62,68.93E-3,1.000
79.43,67.37E-3,1.000
81.28,65.84E-3,1.000
83.18,64.35E-3,1.000
85.11,62.89E-3,1.000
87.10,61.46E-3,1.000
89.13,60.07E-3,1.000
91.20,58.71E-3,1.000
93.33,57.38E-3,1.000
95.50,56.08E-3,1.000
97.72,54.80E-3,1.000
100.0,53.56E-3,1.000
102.3,52.34E-3,1.000
104.7,51.16E-3,1.000
107.2,49.99E-3,1.000
109.6,48.86E-3,1.000
112.2,47.75E-3,1.000
114.8,46.67E-3,1.000
117.5,45.61E-3,1.000
120.2,44.57E-3,1.000
123.0,43.56E-3,1.000
125.9,42.57E-3,1.000
128.8,41.60E-3,1.000
131.8,40.66E-3,1.000
134.9,39.73E-3,1.000
138.0,38.83E-3,1.000
141.3,37.95E-3,1.000
144.5,37.08E-3,1.000
147.9,36.24E-3,1.000
151.4,35.42E-3,1.000
154.9,34.61E-3,1.000
158.5,33.82E-3,1.000
162.2,33.06E-3,1.000
166.0,32.30E-3,1.000
169.8,31.57E-3,1.000
173.8,30.85E-3,1.000
177.8,30.15E-3,1.000
182.0,29.46E-3,1.000
186.2,28.79E-3,1.000
190.5,28.14E-3,1.000
195.0,27.50E-3,1.000
199.5,26.87E-3,1.000
204.2,26.26E-3,1.000
208.9,25.67E-3,1.000
213.8,25.08E-3,1.000
218.8,24.51E-3,1.000
223.9,23.95E-3,1.000
229.1,23.41E-3,1.000
234.4,22.88E-3,1.000
239.9,22.36E-3,1.000
245.5,21.85E-3,1.000
251.2,21.35E-3,1.000
257.0,20.86E-3,1.000
263.0,20.39E-3,1.000
269.2,19.93E-3,1.000
275.4,19.47E-3,1.000
281.8,19.03E-3,1.000
288.4,18.60E-3,1.000
295.1,18.17E-3,1.000
302.0,17.76E-3,1.000
309.0,17.36E-3,1.000
316.2,16.96E-3,1.000
323.6,16.57E-3,1.000
331.1,16.20E-3,1.000
338.8,15.83E-3,1.000
346.7,15.47E-3,1.000
354.8,15.12E-3,1.000
363.1,14.77E-3,1.000
371.5,14.44E-3,1.000
380.2,14.11E-3,1.000
389.0,13.79E-3,1.000
398.1,13.47E-3,1.000
407.4,13.17E-3,1.000
416.9,12.87E-3,1.000
426.6,12.57E-3,1.000
436.5,12.29E-3,1.000
446.7,12.01E-3,1.000
457.1,11.73E-3,1.000
467.7,11.47E-3,1.000
478.6,11.21E-3,1.000
489.8,10.95E-3,1.000
501.2,10.70E-3,1.000
512.9,10.46E-3,1.000
524.8,10.22E-3,1.000
537.0,9.988E-3,1.000
549.5,9.761E-3,1.000
562.3,9.538E-3,1.000
575.4,9.321E-3,1.000
588.8,9.109E-3,1.000
602.6,8.902E-3,1.000
616.6,8.699E-3,1.000
631.0,8.501E-3,1.000
645.7,8.308E-3,1.000
660.7,8.119E-3,1.000
676.1,7.934E-3,1.000
691.8,7.753E-3,1.000
707.9,7.577E-3,1.000
724.4,7.404E-3,1.000
741.3,7.236E-3,1.000
758.6,7.071E-3,1.000
776.2,6.910E-3,1.000
794.3,6.753E-3,1.000
812.8,6.599E-3,1.000
831.8,6.449E-3,1.000
851.1,6.302E-3,1.000
871.0,6.159E-3,1.000
891.3,6.019E-3,1.000
912.0,5.882E-3,1.000
933.3,5.748E-3,1.000
955.0,5.617E-3,1.000
977.2,5.489E-3,1.000
1.000E3,5.364E-3,1.000
1.023E3,5.242E-3,1.000
1.047E3,5.123E-3,1.000
1.072E3,5.006E-3,1.000
1.096E3,4.892E-3,1.000
1.122E3,4.781E-3,1.000
1.148E3,4.672E-3,1.000
1.175E3,4.566E-3,1.000
1.202E3,4.462E-3,1.000
1.230E3,4.360E-3,1.000
1.259E3,4.261E-3,1.000
1.288E3,4.164E-3,1.000
1.318E3,4.069E-3,1.000
1.349E3,3.976E-3,1.000
1.380E3,3.886E-3,1.000
1.413E3,3.797E-3,1.000
