time (s),rds
2.000,1.761E3
2.000,2.291E3
2.000,2.981E3
2.000,3.880E3
2.000,5.053E3
2.000,6.582E3
2.000,8.577E3
2.000,11.18E3
2.000,14.58E3
2.000,19.02E3
2.000,24.82E3
2.000,32.39E3
2.000,42.28E3
2.000,55.22E3
2.000,72.13E3
2.000,94.24E3
2.000,123.2E3
2.000,161.0E3
2.000,210.5E3
2.000,275.3E3
2.000,360.1E3
2.000,471.2E3
2.001,616.7E3
2.001,807.2E3
2.001,1.057E6
2.001,1.384E6
2.001,1.813E6
2.001,2.375E6
2.001,3.112E6
2.001,4.080E6
2.002,5.348E6
2.002,7.013E6
2.002,9.198E6
2.002,12.07E6
2.003,15.83E6
2.003,20.78E6
2.003,27.28E6
2.004,35.82E6
2.004,47.04E6
2.005,61.81E6
2.006,81.23E6
2.007,106.8E6
2.008,140.5E6
2.009,185.0E6
2.010,243.7E6
2.011,321.6E6
2.013,425.2E6
2.015,563.5E6
2.017,749.6E6
2.020,1.002E9
2.022,1.349E9
2.026,1.831E9
2.029,2.515E9
2.034,3.509E9
2.039,4.994E9
2.044,7.296E9
2.051,11.03E9
2.058,17.45E9
2.065,28.26E9
2.075,47.64E9
2.086,91.82E9
2.098,195.7E9
2.115,522.9E9
2.139,2.486E12
2.170,-14.87E12
2.218,-11.49E12
2.288,-37.74E12
2.358,-1.598E15
2.428,469.9E12
2.498,1.220E15
2.568,9.686E15
2.638,-27.39E15
2.708,-44.71E15
2.778,-210.6E15
2.848,3.313E18
2.918,1.872E18
2.988,6.078E18
3.000,399.7E18
3.000,36.24E-3
3.000,-47.63
3.000,-71.93
3.000,-71.19
3.000,-70.58
3.000,-73.36
3.000,-80.92
3.000,-95.68
3.000,-119.7
3.000,-149.3
3.000,-186.3
3.000,-184.5
3.000,-44.77E-3
3.000,-742.0
3.000,-873.6E3
3.000,-1.325E6
3.000,-1.496E6
3.000,-1.898E6
3.000,-2.987E6
3.000,-6.672E6
3.000,-25.61E6
3.000,-13.31E9
3.000,184.4E6
3.000,451.0E6
3.000,5.755E9
3.000,-11.85E9
3.000,-31.63E9
3.000,-46.68E9
3.000,-46.14E9
3.000,-46.00E9
3.000,-46.01E9
3.000,-46.02E9
3.001,-46.05E9
3.001,-46.10E9
3.002,-46.20E9
3.004,-46.41E9
3.009,-46.82E9
3.017,-47.65E9
3.025,-48.72E9
3.032,-49.73E9
3.040,-50.80E9
3.049,-51.92E9
3.057,-53.07E9
3.066,-54.25E9
3.074,-55.45E9
3.083,-56.68E9
3.091,-57.93E9
3.100,-59.21E9
3.109,-60.51E9
3.118,-61.84E9
3.127,-63.20E9
3.136,-64.58E9
3.145,-65.99E9
3.155,-67.43E9
3.164,-68.89E9
3.174,-70.38E9
