freq,v_in,v_out
8.318,1.000,467.0E-3
8.511,1.000,459.0E-3
8.710,1.000,451.1E-3
8.913,1.000,443.2E-3
9.120,1.000,435.3E-3
9.333,1.000,427.5E-3
9.550,1.000,419.8E-3
9.772,1.000,412.2E-3
10.00,1.000,404.6E-3
10.23,1.000,397.1E-3
10.47,1.000,389.7E-3
10.72,1.000,382.3E-3
10.96,1.000,375.1E-3
11.22,1.000,367.9E-3
11.48,1.000,360.8E-3
11.75,1.000,353.8E-3
12.02,1.000,346.9E-3
12.30,1.000,340.1E-3
12.59,1.000,333.3E-3
12.88,1.000,326.7E-3
13.18,1.000,320.1E-3
13.49,1.000,313.7E-3
13.80,1.000,307.4E-3
14.13,1.000,301.1E-3
14.45,1.000,295.0E-3
14.79,1.000,288.9E-3
15.14,1.000,282.9E-3
15.49,1.000,277.1E-3
15.85,1.000,271.3E-3
16.22,1.000,265.7E-3
16.60,1.000,260.1E-3
16.98,1.000,254.6E-3
17.38,1.000,249.2E-3
17.78,1.000,244.0E-3
18.20,1.000,238.8E-3
18.62,1.000,233.7E-3
19.05,1.000,228.7E-3
19.50,1.000,223.8E-3
19.95,1.000,219.0E-3
20.42,1.000,214.3E-3
20.89,1.000,209.7E-3
21.38,1.000,205.1E-3
21.88,1.000,200.7E-3
22.39,1.000,196.3E-3
22.91,1.000,192.0E-3
23.44,1.000,187.9E-3
23.99,1.000,183.7E-3
24.55,1.000,179.7E-3
25.12,1.000,175.8E-3
25.70,1.000,171.9E-3
26.30,1.000,168.1E-3
26.92,1.000,164.4E-3
27.54,1.000,160.8E-3
28.18,1.000,157.3E-3
28.84,1.000,153.8E-3
29.51,1.000,150.4E-3
30.20,1.000,147.0E-3
30.90,1.000,143.8E-3
31.62,1.000,140.6E-3
32.36,1.000,137.4E-3
33.11,1.000,134.4E-3
33.88,1.000,131.4E-3
34.67,1.000,128.4E-3
35.48,1.000,125.6E-3
36.31,1.000,122.8E-3
37.15,1.000,120.0E-3
38.02,1.000,117.3E-3
38.90,1.000,114.7E-3
39.81,1.000,112.1E-3
40.74,1.000,109.6E-3
41.69,1.000,107.2E-3
42.66,1.000,104.7E-3
43.65,1.000,102.4E-3
44.67,1.000,100.1E-3
45.71,1.000,97.84E-3
46.77,1.000,95.63E-3
47.86,1.000,93.48E-3
