freq,v_out1,v_out2,v_out3,v_in
977.2E-3,887.7E-3,743.0E-3,452.2E-3,1.000
1.000,885.2E-3,736.9E-3,444.7E-3,1.000
1.023,882.6E-3,730.8E-3,437.2E-3,1.000
1.047,879.9E-3,724.5E-3,429.8E-3,1.000
1.072,877.1E-3,718.1E-3,422.4E-3,1.000
1.096,874.2E-3,711.5E-3,415.1E-3,1.000
1.122,871.2E-3,704.9E-3,407.8E-3,1.000
1.148,868.0E-3,698.1E-3,400.5E-3,1.000
1.175,864.8E-3,691.2E-3,393.4E-3,1.000
1.202,861.5E-3,684.2E-3,386.3E-3,1.000
1.230,858.0E-3,677.1E-3,379.2E-3,1.000
1.259,854.4E-3,669.9E-3,372.2E-3,1.000
1.288,850.7E-3,662.6E-3,365.3E-3,1.000
1.318,846.9E-3,655.2E-3,358.4E-3,1.000
1.349,842.9E-3,647.7E-3,351.7E-3,1.000
1.380,838.8E-3,640.1E-3,345.0E-3,1.000
1.413,834.6E-3,632.5E-3,338.4E-3,1.000
1.445,830.3E-3,624.8E-3,331.8E-3,1.000
1.479,825.8E-3,617.0E-3,325.4E-3,1.000
1.514,821.2E-3,609.1E-3,319.0E-3,1.000
1.549,816.4E-3,601.2E-3,312.7E-3,1.000
1.585,811.5E-3,593.2E-3,306.5E-3,1.000
1.622,806.5E-3,585.2E-3,300.4E-3,1.000
1.660,801.3E-3,577.2E-3,294.4E-3,1.000
1.698,796.0E-3,569.1E-3,288.4E-3,1.000
1.738,790.6E-3,561.0E-3,282.6E-3,1.000
1.778,785.0E-3,552.9E-3,276.8E-3,1.000
1.820,779.3E-3,544.7E-3,271.2E-3,1.000
1.862,773.5E-3,536.6E-3,265.6E-3,1.000
1.905,767.5E-3,528.4E-3,260.1E-3,1.000
1.950,761.3E-3,520.2E-3,254.7E-3,1.000
1.995,755.1E-3,512.1E-3,249.4E-3,1.000
2.042,748.7E-3,504.0E-3,244.2E-3,1.000
2.089,742.2E-3,495.8E-3,239.1E-3,1.000
2.138,735.5E-3,487.8E-3,234.1E-3,1.000
2.188,728.8E-3,479.7E-3,229.1E-3,1.000
2.239,721.9E-3,471.7E-3,224.3E-3,1.000
2.291,714.8E-3,463.7E-3,219.5E-3,1.000
2.344,707.7E-3,455.7E-3,214.8E-3,1.000
2.399,700.5E-3,447.8E-3,210.2E-3,1.000
2.455,693.1E-3,440.0E-3,205.7E-3,1.000
2.512,685.7E-3,432.2E-3,201.3E-3,1.000
2.570,678.1E-3,424.5E-3,197.0E-3,1.000
2.630,670.5E-3,416.8E-3,192.7E-3,1.000
2.692,662.7E-3,409.2E-3,188.5E-3,1.000
2.754,654.9E-3,401.7E-3,184.4E-3,1.000
2.818,647.0E-3,394.2E-3,180.4E-3,1.000
2.884,639.0E-3,386.9E-3,176.5E-3,1.000
2.951,631.0E-3,379.6E-3,172.6E-3,1.000
3.020,622.9E-3,372.4E-3,168.9E-3,1.000
3.090,614.7E-3,365.2E-3,165.2E-3,1.000
3.162,606.5E-3,358.2E-3,161.5E-3,1.000
3.236,598.3E-3,351.2E-3,158.0E-3,1.000
3.311,590.0E-3,344.4E-3,154.5E-3,1.000
3.388,581.6E-3,337.6E-3,151.1E-3,1.000
3.467,573.3E-3,330.9E-3,147.8E-3,1.000
3.548,564.9E-3,324.3E-3,144.5E-3,1.000
3.631,556.5E-3,317.8E-3,141.3E-3,1.000
3.715,548.2E-3,311.4E-3,138.2E-3,1.000
3.802,539.8E-3,305.1E-3,135.1E-3,1.000
3.890,531.4E-3,298.9E-3,132.1E-3,1.000
3.981,523.0E-3,292.8E-3,129.2E-3,1.000
4.074,514.6E-3,286.8E-3,126.3E-3,1.000
4.169,506.3E-3,280.9E-3,123.5E-3,1.000
4.266,498.0E-3,275.1E-3,120.7E-3,1.000
4.365,489.7E-3,269.4E-3,118.0E-3,1.000
4.467,481.5E-3,263.7E-3,115.4E-3,1.000
4.571,473.3E-3,258.2E-3,112.8E-3,1.000
4.677,465.1E-3,252.8E-3,110.3E-3,1.000
4.786,457.0E-3,247.4E-3,107.8E-3,1.000
4.898,449.0E-3,242.2E-3,105.4E-3,1.000
5.012,441.0E-3,237.1E-3,103.0E-3,1.000
5.129,433.1E-3,232.0E-3,100.7E-3,1.000
5.248,425.2E-3,227.1E-3,98.46E-3,1.000
5.370,417.5E-3,222.2E-3,96.25E-3,1.000
5.495,409.8E-3,217.4E-3,94.09E-3,1.000
5.623,402.1E-3,212.7E-3,91.97E-3,1.000
5.754,394.6E-3,208.1E-3,89.90E-3,1.000
5.888,387.1E-3,203.6E-3,87.87E-3,1.000
6.026,379.7E-3,199.2E-3,85.89E-3,1.000
6.166,372.4E-3,194.9E-3,83.96E-3,1.000
6.310,365.2E-3,190.6E-3,82.06E-3,1.000
6.457,358.1E-3,186.5E-3,80.21E-3,1.000
6.607,351.1E-3,182.4E-3,78.40E-3,1.000
6.761,344.2E-3,178.4E-3,76.63E-3,1.000
6.918,337.4E-3,174.5E-3,74.90E-3,1.000
7.079,330.6E-3,170.7E-3,73.21E-3,1.000
7.244,324.0E-3,166.9E-3,71.55E-3,1.000
7.413,317.5E-3,163.2E-3,69.94E-3,1.000
7.586,311.0E-3,159.6E-3,68.36E-3,1.000
7.762,304.7E-3,156.1E-3,66.81E-3,1.000
7.943,298.4E-3,152.7E-3,65.30E-3,1.000
8.128,292.3E-3,149.3E-3,63.82E-3,1.000
8.318,286.3E-3,146.0E-3,62.37E-3,1.000
8.511,280.3E-3,142.7E-3,60.96E-3,1.000
8.710,274.5E-3,139.5E-3,59.58E-3,1.000
8.913,268.7E-3,136.4E-3,58.23E-3,1.000
9.120,263.1E-3,133.4E-3,56.91E-3,1.000
9.333,257.6E-3,130.4E-3,55.62E-3,1.000
9.550,252.1E-3,127.5E-3,54.36E-3,1.000
9.772,246.8E-3,124.7E-3,53.13E-3,1.000
10.00,241.5E-3,121.9E-3,51.92E-3,1.000
10.23,236.4E-3,119.1E-3,50.75E-3,1.000
10.47,231.3E-3,116.5E-3,49.59E-3,1.000
10.72,226.4E-3,113.9E-3,48.47E-3,1.000
10.96,221.5E-3,111.3E-3,47.37E-3,1.000
11.22,216.7E-3,108.8E-3,46.29E-3,1.000
11.48,212.0E-3,106.4E-3,45.24E-3,1.000
11.75,207.4E-3,104.0E-3,44.22E-3,1.000
12.02,202.9E-3,101.6E-3,43.21E-3,1.000
12.30,198.5E-3,99.36E-3,42.23E-3,1.000
12.59,194.2E-3,97.12E-3,41.27E-3,1.000
12.88,190.0E-3,94.94E-3,40.33E-3,1.000
13.18,185.8E-3,92.80E-3,39.42E-3,1.000
13.49,181.7E-3,90.71E-3,38.52E-3,1.000
13.80,177.7E-3,88.66E-3,37.65E-3,1.000
14.13,173.8E-3,86.66E-3,36.79E-3,1.000
14.45,170.0E-3,84.70E-3,35.96E-3,1.000
14.79,166.3E-3,82.79E-3,35.14E-3,1.000
15.14,162.6E-3,80.92E-3,34.34E-3,1.000
15.49,159.0E-3,79.09E-3,33.56E-3,1.000
15.85,155.5E-3,77.31E-3,32.80E-3,1.000
16.22,152.0E-3,75.56E-3,32.05E-3,1.000
16.60,148.6E-3,73.85E-3,31.32E-3,1.000
16.98,145.3E-3,72.18E-3,30.61E-3,1.000
17.38,142.1E-3,70.55E-3,29.92E-3,1.000
17.78,138.9E-3,68.95E-3,29.24E-3,1.000
18.20,135.9E-3,67.39E-3,28.57E-3,1.000
18.62,132.8E-3,65.86E-3,27.92E-3,1.000
19.05,129.9E-3,64.37E-3,27.29E-3,1.000
19.50,127.0E-3,62.91E-3,26.67E-3,1.000
19.95,124.1E-3,61.49E-3,26.06E-3,1.000
20.42,121.3E-3,60.09E-3,25.47E-3,1.000
20.89,118.6E-3,58.73E-3,24.89E-3,1.000
21.38,116.0E-3,57.40E-3,24.32E-3,1.000
21.88,113.4E-3,56.10E-3,23.77E-3,1.000
22.39,110.8E-3,54.83E-3,23.23E-3,1.000
22.91,108.3E-3,53.58E-3,22.70E-3,1.000
23.44,105.9E-3,52.37E-3,22.18E-3,1.000
23.99,103.5E-3,51.18E-3,21.68E-3,1.000
24.55,101.2E-3,50.02E-3,21.18E-3,1.000
25.12,98.90E-3,48.88E-3,20.70E-3,1.000
25.70,96.67E-3,47.77E-3,20.23E-3,1.000
26.30,94.50E-3,46.69E-3,19.77E-3,1.000
26.92,92.37E-3,45.63E-3,19.32E-3,1.000
27.54,90.28E-3,44.59E-3,18.88E-3,1.000
28.18,88.24E-3,43.58E-3,18.45E-3,1.000
28.84,86.25E-3,42.59E-3,18.03E-3,1.000
29.51,84.31E-3,41.62E-3,17.62E-3,1.000
30.20,82.40E-3,40.68E-3,17.22E-3,1.000
30.90,80.54E-3,39.75E-3,16.83E-3,1.000
31.62,78.72E-3,38.85E-3,16.45E-3,1.000
32.36,76.94E-3,37.97E-3,16.07E-3,1.000
33.11,75.20E-3,37.10E-3,15.71E-3,1.000
33.88,73.50E-3,36.26E-3,15.35E-3,1.000
34.67,71.83E-3,35.43E-3,15.00E-3,1.000
35.48,70.21E-3,34.63E-3,14.66E-3,1.000
36.31,68.62E-3,33.84E-3,14.33E-3,1.000
37.15,67.06E-3,33.07E-3,14.00E-3,1.000
38.02,65.55E-3,32.32E-3,13.68E-3,1.000
38.90,64.06E-3,31.59E-3,13.37E-3,1.000
39.81,62.61E-3,30.87E-3,13.06E-3,1.000
40.74,61.19E-3,30.17E-3,12.77E-3,1.000
41.69,59.80E-3,29.48E-3,12.48E-3,1.000
42.66,58.45E-3,28.81E-3,12.19E-3,1.000
43.65,57.12E-3,28.15E-3,11.92E-3,1.000
44.67,55.82E-3,27.51E-3,11.64E-3,1.000
45.71,54.56E-3,26.89E-3,11.38E-3,1.000
