time,v_out,v_in
3.000,1.736,900.0E-3
3.000,1.736,900.0E-3
3.000,1.735,900.0E-3
3.000,1.735,900.0E-3
3.000,1.735,900.0E-3
3.000,1.734,900.0E-3
3.000,1.733,900.0E-3
3.000,1.730,900.0E-3
3.000,1.725,900.0E-3
3.001,1.714,900.0E-3
3.002,1.692,900.0E-3
3.004,1.651,900.0E-3
3.006,1.591,900.0E-3
3.009,1.536,900.0E-3
3.012,1.485,900.0E-3
3.015,1.437,900.0E-3
3.017,1.393,900.0E-3
3.020,1.351,900.0E-3
3.023,1.312,900.0E-3
3.026,1.276,900.0E-3
3.029,1.241,900.0E-3
3.033,1.209,900.0E-3
3.036,1.179,900.0E-3
3.039,1.151,900.0E-3
3.043,1.125,900.0E-3
3.047,1.101,900.0E-3
3.051,1.079,900.0E-3
3.055,1.059,900.0E-3
3.059,1.040,900.0E-3
3.063,1.023,900.0E-3
3.068,1.007,900.0E-3
3.072,992.8E-3,900.0E-3
3.077,979.9E-3,900.0E-3
3.082,968.4E-3,900.0E-3
3.088,958.1E-3,900.0E-3
3.093,949.0E-3,900.0E-3
3.100,940.9E-3,900.0E-3
3.106,933.9E-3,900.0E-3
3.113,927.7E-3,900.0E-3
3.120,922.4E-3,900.0E-3
3.128,918.0E-3,900.0E-3
3.136,914.2E-3,900.0E-3
3.145,911.1E-3,900.0E-3
3.155,908.5E-3,900.0E-3
3.165,906.5E-3,900.0E-3
3.177,904.9E-3,900.0E-3
3.190,903.7E-3,900.0E-3
3.204,902.8E-3,900.0E-3
3.221,902.2E-3,900.0E-3
3.240,901.8E-3,900.0E-3
3.263,901.6E-3,900.0E-3
3.290,901.5E-3,900.0E-3
3.323,901.4E-3,900.0E-3
3.366,901.4E-3,900.0E-3
3.426,901.4E-3,900.0E-3
3.496,901.4E-3,900.0E-3
3.566,901.4E-3,900.0E-3
3.636,901.4E-3,900.0E-3
3.706,901.4E-3,900.0E-3
3.776,901.4E-3,900.0E-3
3.846,901.4E-3,900.0E-3
3.916,901.4E-3,900.0E-3
3.986,901.4E-3,900.0E-3
4.000,901.4E-3,900.0E-3
4.000,901.4E-3,901.5E-3
4.000,901.4E-3,904.5E-3
4.000,901.4E-3,910.6E-3
4.000,901.4E-3,922.6E-3
4.000,901.4E-3,946.8E-3
4.000,901.4E-3,995.0E-3
4.000,901.4E-3,1.092
4.000,901.4E-3,1.285
4.000,901.4E-3,1.542
4.000,901.4E-3,1.800
4.000,901.4E-3,1.800
4.000,901.4E-3,1.800
4.000,901.4E-3,1.800
4.000,901.4E-3,1.800
4.000,901.4E-3,1.800
4.000,901.4E-3,1.800
4.000,901.4E-3,1.800
4.000,901.4E-3,1.800
4.000,901.4E-3,1.800
4.000,901.4E-3,1.800
4.000,901.3E-3,1.800
4.000,901.2E-3,1.800
4.000,901.1E-3,1.800
4.000,900.7E-3,1.800
4.000,900.0E-3,1.800
4.000,898.6E-3,1.800
4.000,895.8E-3,1.800
4.000,890.3E-3,1.800
4.001,879.4E-3,1.800
4.002,857.9E-3,1.800
4.004,816.7E-3,1.800
4.006,757.1E-3,1.800
4.009,701.8E-3,1.800
4.012,650.8E-3,1.800
4.015,603.1E-3,1.800
4.017,558.8E-3,1.800
4.020,517.3E-3,1.800
4.023,478.2E-3,1.800
4.026,441.6E-3,1.800
4.029,407.2E-3,1.800
4.033,375.0E-3,1.800
4.036,345.0E-3,1.800
4.039,317.0E-3,1.800
4.043,291.1E-3,1.800
4.047,267.0E-3,1.800
4.051,244.8E-3,1.800
4.055,224.3E-3,1.800
4.059,205.6E-3,1.800
4.063,188.4E-3,1.800
4.068,172.7E-3,1.800
4.072,158.6E-3,1.800
4.077,145.7E-3,1.800
4.082,134.2E-3,1.800
4.088,123.9E-3,1.800
4.093,114.8E-3,1.800
4.100,106.7E-3,1.800
4.106,99.64E-3,1.800
4.113,93.51E-3,1.800
4.120,88.23E-3,1.800
4.128,83.74E-3,1.800
4.136,79.97E-3,1.800
4.145,76.85E-3,1.800
4.155,74.30E-3,1.800
4.165,72.27E-3,1.800
4.177,70.69E-3,1.800
4.190,69.49E-3,1.800
4.204,68.62E-3,1.800
