Rf,VeffA,VeffB,f,b
10.00E3,24.62E-3,313.5E-3,8.654,16.09
19.00E3,24.62E-3,313.5E-3,4.555,8.554
28.00E3,24.62E-3,313.5E-3,3.091,5.858
37.00E3,24.62E-3,313.5E-3,2.339,4.472
46.00E3,24.62E-3,313.5E-3,1.881,3.628
55.00E3,24.62E-3,313.5E-3,1.573,3.061
64.00E3,24.62E-3,313.5E-3,1.352,2.653
73.00E3,24.62E-3,313.5E-3,1.185,2.345
82.00E3,24.62E-3,313.5E-3,1.055,2.105
91.00E3,24.62E-3,313.5E-3,951.0E-3,1.913
100.0E3,24.62E-3,313.5E-3,865.4E-3,1.756
