VbA,VeffA,VeffB,f,b
1.510,80.61E-6,236.1E-3,9.589E-3,3.537
1.539,29.08E-3,236.1E-3,3.459,5.074
1.568,58.08E-3,236.1E-3,6.909,6.911
1.597,87.08E-3,236.1E-3,10.36,8.967
1.626,116.1E-3,236.1E-3,13.81,11.15
1.655,145.1E-3,236.1E-3,17.26,13.39
1.684,174.1E-3,236.1E-3,20.71,15.63
1.713,203.1E-3,236.1E-3,24.16,17.83
1.742,232.1E-3,236.1E-3,27.61,19.96
1.771,261.1E-3,236.1E-3,31.06,22.03
1.800,290.1E-3,236.1E-3,34.51,24.02
