time,v_out,v_in
3.000,1.774,900.0E-3
3.000,1.774,900.0E-3
3.000,1.774,900.0E-3
3.000,1.774,900.0E-3
3.000,1.774,900.0E-3
3.000,1.773,900.0E-3
3.000,1.773,900.0E-3
3.000,1.772,900.0E-3
3.000,1.770,900.0E-3
3.000,1.767,900.0E-3
3.000,1.761,900.0E-3
3.001,1.747,900.0E-3
3.002,1.722,900.0E-3
3.004,1.673,900.0E-3
3.006,1.612,900.0E-3
3.008,1.556,900.0E-3
3.011,1.504,900.0E-3
3.013,1.455,900.0E-3
3.015,1.409,900.0E-3
3.018,1.367,900.0E-3
3.021,1.327,900.0E-3
3.023,1.289,900.0E-3
3.026,1.253,900.0E-3
3.029,1.220,900.0E-3
3.032,1.189,900.0E-3
3.035,1.160,900.0E-3
3.038,1.133,900.0E-3
3.041,1.109,900.0E-3
3.044,1.085,900.0E-3
3.048,1.064,900.0E-3
3.052,1.045,900.0E-3
3.055,1.027,900.0E-3
3.059,1.011,900.0E-3
3.063,996.0E-3,900.0E-3
3.068,982.6E-3,900.0E-3
3.072,970.6E-3,900.0E-3
3.077,959.9E-3,900.0E-3
3.082,950.3E-3,900.0E-3
3.087,941.9E-3,900.0E-3
3.093,934.5E-3,900.0E-3
3.098,928.0E-3,900.0E-3
3.105,922.5E-3,900.0E-3
3.111,917.7E-3,900.0E-3
3.119,913.7E-3,900.0E-3
3.126,910.4E-3,900.0E-3
3.135,907.7E-3,900.0E-3
3.144,905.5E-3,900.0E-3
3.154,903.8E-3,900.0E-3
3.165,902.5E-3,900.0E-3
3.178,901.6E-3,900.0E-3
3.192,900.9E-3,900.0E-3
3.208,900.5E-3,900.0E-3
3.227,900.2E-3,900.0E-3
3.250,900.1E-3,900.0E-3
3.278,900.0E-3,900.0E-3
3.314,900.0E-3,900.0E-3
3.363,900.0E-3,900.0E-3
3.433,900.0E-3,900.0E-3
3.503,900.0E-3,900.0E-3
3.573,900.0E-3,900.0E-3
3.643,900.0E-3,900.0E-3
