freq,v_in,v_out
8.318,1.000,26.76E-3
8.511,1.000,26.16E-3
8.710,1.000,25.57E-3
8.913,1.000,24.99E-3
9.120,1.000,24.43E-3
9.333,1.000,23.88E-3
9.550,1.000,23.34E-3
9.772,1.000,22.81E-3
10.00,1.000,22.30E-3
10.23,1.000,21.80E-3
10.47,1.000,21.31E-3
10.72,1.000,20.83E-3
10.96,1.000,20.36E-3
11.22,1.000,19.91E-3
11.48,1.000,19.46E-3
11.75,1.000,19.02E-3
12.02,1.000,18.60E-3
12.30,1.000,18.18E-3
12.59,1.000,17.77E-3
12.88,1.000,17.38E-3
13.18,1.000,16.99E-3
13.49,1.000,16.61E-3
13.80,1.000,16.24E-3
14.13,1.000,15.88E-3
14.45,1.000,15.52E-3
14.79,1.000,15.18E-3
15.14,1.000,14.84E-3
15.49,1.000,14.51E-3
15.85,1.000,14.19E-3
16.22,1.000,13.88E-3
16.60,1.000,13.57E-3
16.98,1.000,13.27E-3
17.38,1.000,12.98E-3
17.78,1.000,12.69E-3
18.20,1.000,12.41E-3
18.62,1.000,12.14E-3
19.05,1.000,11.87E-3
19.50,1.000,11.61E-3
19.95,1.000,11.36E-3
20.42,1.000,11.11E-3
20.89,1.000,10.87E-3
21.38,1.000,10.63E-3
21.88,1.000,10.40E-3
22.39,1.000,10.18E-3
22.91,1.000,9.959E-3
23.44,1.000,9.745E-3
23.99,1.000,9.535E-3
24.55,1.000,9.331E-3
25.12,1.000,9.132E-3
25.70,1.000,8.938E-3
26.30,1.000,8.748E-3
26.92,1.000,8.563E-3
27.54,1.000,8.382E-3
28.18,1.000,8.206E-3
28.84,1.000,8.035E-3
29.51,1.000,7.867E-3
30.20,1.000,7.704E-3
30.90,1.000,7.544E-3
31.62,1.000,7.389E-3
32.36,1.000,7.237E-3
33.11,1.000,7.089E-3
33.88,1.000,6.945E-3
34.67,1.000,6.805E-3
35.48,1.000,6.668E-3
36.31,1.000,6.535E-3
37.15,1.000,6.405E-3
38.02,1.000,6.278E-3
38.90,1.000,6.155E-3
39.81,1.000,6.035E-3
40.74,1.000,5.918E-3
41.69,1.000,5.804E-3
42.66,1.000,5.693E-3
43.65,1.000,5.585E-3
44.67,1.000,5.480E-3
45.71,1.000,5.377E-3
46.77,1.000,5.278E-3
47.86,1.000,5.181E-3
48.98,1.000,5.087E-3
50.12,1.000,4.995E-3
51.29,1.000,4.906E-3
52.48,1.000,4.819E-3
53.70,1.000,4.735E-3
54.95,1.000,4.653E-3
56.23,1.000,4.574E-3
57.54,1.000,4.496E-3
58.88,1.000,4.421E-3
60.26,1.000,4.348E-3
61.66,1.000,4.277E-3
63.10,1.000,4.209E-3
64.57,1.000,4.142E-3
66.07,1.000,4.077E-3
67.61,1.000,4.015E-3
69.18,1.000,3.954E-3
70.79,1.000,3.895E-3
72.44,1.000,3.838E-3
74.13,1.000,3.782E-3
75.86,1.000,3.728E-3
77.62,1.000,3.676E-3
79.43,1.000,3.626E-3
81.28,1.000,3.577E-3
83.18,1.000,3.530E-3
85.11,1.000,3.484E-3
87.10,1.000,3.440E-3
89.13,1.000,3.397E-3
91.20,1.000,3.356E-3
93.33,1.000,3.316E-3
95.50,1.000,3.277E-3
97.72,1.000,3.240E-3
100.0,1.000,3.204E-3
102.3,1.000,3.169E-3
104.7,1.000,3.136E-3
107.2,1.000,3.103E-3
109.6,1.000,3.072E-3
112.2,1.000,3.042E-3
114.8,1.000,3.013E-3
117.5,1.000,2.985E-3
120.2,1.000,2.958E-3
