time,v_out,v_in
3.000,1.774,900.0E-3
3.000,1.774,900.0E-3
3.000,1.774,900.0E-3
3.000,1.774,900.0E-3
3.000,1.774,900.0E-3
3.000,1.773,900.0E-3
3.000,1.773,900.0E-3
3.000,1.772,900.0E-3
3.000,1.771,900.0E-3
3.000,1.767,900.0E-3
3.000,1.761,900.0E-3
3.001,1.748,900.0E-3
3.002,1.722,900.0E-3
3.004,1.674,900.0E-3
3.006,1.613,900.0E-3
3.008,1.556,900.0E-3
3.011,1.504,900.0E-3
3.013,1.455,900.0E-3
3.016,1.410,900.0E-3
3.018,1.367,900.0E-3
3.021,1.327,900.0E-3
3.023,1.289,900.0E-3
3.026,1.253,900.0E-3
3.029,1.220,900.0E-3
3.032,1.189,900.0E-3
3.035,1.160,900.0E-3
3.038,1.133,900.0E-3
3.041,1.108,900.0E-3
3.045,1.085,900.0E-3
3.048,1.064,900.0E-3
3.052,1.044,900.0E-3
3.056,1.026,900.0E-3
3.059,1.010,900.0E-3
3.064,995.2E-3,900.0E-3
3.068,981.8E-3,900.0E-3
3.072,969.8E-3,900.0E-3
3.077,959.0E-3,900.0E-3
3.082,949.4E-3,900.0E-3
3.087,940.9E-3,900.0E-3
3.093,933.4E-3,900.0E-3
3.099,927.0E-3,900.0E-3
3.105,921.4E-3,900.0E-3
3.112,916.6E-3,900.0E-3
3.119,912.6E-3,900.0E-3
3.127,909.3E-3,900.0E-3
3.135,906.5E-3,900.0E-3
3.144,904.3E-3,900.0E-3
3.154,902.6E-3,900.0E-3
3.166,901.3E-3,900.0E-3
3.178,900.3E-3,900.0E-3
3.192,899.7E-3,900.0E-3
3.209,899.2E-3,900.0E-3
3.228,898.9E-3,900.0E-3
3.250,898.8E-3,900.0E-3
3.279,898.7E-3,900.0E-3
3.314,898.7E-3,900.0E-3
3.363,898.7E-3,900.0E-3
3.433,898.7E-3,900.0E-3
3.503,898.7E-3,900.0E-3
3.573,898.7E-3,900.0E-3
3.643,898.7E-3,900.0E-3
