f, dB, idk
+1.48000000000E+008, -3.09017602319E+000, +0.00000000000E+000
+1.48500000000E+008, -2.76549078316E+000, +0.00000000000E+000
+1.49000000000E+008, -2.55740152614E+000, +0.00000000000E+000
+1.49500000000E+008, -2.35474790994E+000, +0.00000000000E+000
+1.50000000000E+008, -2.11986362345E+000, +0.00000000000E+000
+1.50500000000E+008, -1.91062951483E+000, +0.00000000000E+000
+1.51000000000E+008, -1.83301851414E+000, +0.00000000000E+000
+1.51500000000E+008, -1.85551046480E+000, +0.00000000000E+000
+1.52000000000E+008, -1.94219328822E+000, +0.00000000000E+000
+1.52500000000E+008, -2.16865724638E+000, +0.00000000000E+000
+1.53000000000E+008, -2.54912639779E+000, +0.00000000000E+000
+1.53500000000E+008, -2.95846953116E+000, +0.00000000000E+000
+1.54000000000E+008, -2.48973347426E+000, +0.00000000000E+000
+1.54500000000E+008, -1.36841067516E+000, +0.00000000000E+000
+1.55000000000E+008, -8.91994070635E-001, +0.00000000000E+000
+1.55500000000E+008, -9.01372976109E-001, +0.00000000000E+000
+1.56000000000E+008, -1.29010151738E+000, +0.00000000000E+000
+1.56500000000E+008, -1.69365464622E+000, +0.00000000000E+000
+1.57000000000E+008, -8.11284562562E-001, +0.00000000000E+000
+1.57500000000E+008, -8.82226610869E-001, +0.00000000000E+000
+1.58000000000E+008, -9.74995625921E-001, +0.00000000000E+000
+1.58500000000E+008, -1.00214798416E+000, +0.00000000000E+000
+1.59000000000E+008, -1.00756652349E+000, +0.00000000000E+000
+1.59500000000E+008, -1.03103686088E+000, +0.00000000000E+000
+1.60000000000E+008, -1.05618394650E+000, +0.00000000000E+000
+1.60500000000E+008, -1.05777020853E+000, +0.00000000000E+000
+1.61000000000E+008, -1.05549856075E+000, +0.00000000000E+000
+1.61500000000E+008, -1.05753223762E+000, +0.00000000000E+000
+1.62000000000E+008, -1.06908066646E+000, +0.00000000000E+000
+1.62500000000E+008, -1.12412951528E+000, +0.00000000000E+000
+1.63000000000E+008, -1.18291188065E+000, +0.00000000000E+000
+1.63500000000E+008, -1.25730251254E+000, +0.00000000000E+000
+1.64000000000E+008, -1.32761425766E+000, +0.00000000000E+000
+1.64500000000E+008, -1.38370457874E+000, +0.00000000000E+000
+1.65000000000E+008, -1.44714125333E+000, +0.00000000000E+000
+1.65500000000E+008, -1.49505658125E+000, +0.00000000000E+000
+1.66000000000E+008, -1.52990285927E+000, +0.00000000000E+000
+1.66500000000E+008, -1.59381516374E+000, +0.00000000000E+000
+1.67000000000E+008, -1.65150905021E+000, +0.00000000000E+000
+1.67500000000E+008, -1.72817504155E+000, +0.00000000000E+000
+1.68000000000E+008, -1.77539211131E+000, +0.00000000000E+000
+1.68500000000E+008, -1.82179757044E+000, +0.00000000000E+000
+1.69000000000E+008, -1.86117482343E+000, +0.00000000000E+000
+1.69500000000E+008, -1.92021035472E+000, +0.00000000000E+000
+1.70000000000E+008, -1.91675227551E+000, +0.00000000000E+000
+1.70500000000E+008, -1.87254590801E+000, +0.00000000000E+000
+1.71000000000E+008, -1.80016382094E+000, +0.00000000000E+000
+1.71500000000E+008, -1.73685200523E+000, +0.00000000000E+000
+1.72000000000E+008, -1.65696880860E+000, +0.00000000000E+000
+1.72500000000E+008, -1.62219994811E+000, +0.00000000000E+000
+1.73000000000E+008, -1.59840813438E+000, +0.00000000000E+000
+1.73500000000E+008, -1.58834492664E+000, +0.00000000000E+000
+1.74000000000E+008, -1.58458664718E+000, +0.00000000000E+000
+1.74500000000E+008, -1.60151361936E+000, +0.00000000000E+000
