VbA,VeffA,VeffB,f,b
0.000,435.3E-3,490.3E-3,49.87,42.12
43.50E-3,391.8E-3,490.3E-3,44.89,38.47
87.00E-3,348.3E-3,490.3E-3,39.90,34.70
130.5E-3,304.8E-3,490.3E-3,34.92,30.80
174.0E-3,261.3E-3,490.3E-3,29.94,26.79
217.5E-3,217.8E-3,490.3E-3,24.95,22.68
261.0E-3,174.3E-3,490.3E-3,19.97,18.50
304.5E-3,130.8E-3,490.3E-3,14.98,14.34
348.0E-3,87.29E-3,490.3E-3,10.00,10.35
391.5E-3,43.79E-3,490.3E-3,5.017,6.811
435.0E-3,293.9E-6,490.3E-3,33.67E-3,4.006
