freq, v_out
2.239,770.8E-3
2.291,764.6E-3
2.344,758.3E-3
2.399,751.9E-3
2.455,745.4E-3
2.512,738.7E-3
2.570,731.9E-3
2.630,725.0E-3
2.692,717.9E-3
2.754,710.8E-3
2.818,703.5E-3
2.884,696.1E-3
2.951,688.6E-3
3.020,681.0E-3
3.090,673.4E-3
3.162,665.6E-3
3.236,657.7E-3
3.311,649.8E-3
3.388,641.8E-3
3.467,633.7E-3
3.548,625.6E-3
3.631,617.4E-3
3.715,609.1E-3
3.802,600.8E-3
3.890,592.5E-3
3.981,584.2E-3
4.074,575.8E-3
4.169,567.4E-3
4.266,559.0E-3
4.365,550.5E-3
4.467,542.1E-3
4.571,533.7E-3
4.677,525.3E-3
4.786,516.9E-3
4.898,508.5E-3
5.012,500.2E-3
5.129,491.9E-3
5.248,483.6E-3
5.370,475.4E-3
5.495,467.2E-3
5.623,459.0E-3
5.754,451.0E-3
5.888,442.9E-3
6.026,435.0E-3
6.166,427.1E-3
6.310,419.3E-3
6.457,411.6E-3
6.607,403.9E-3
6.761,396.3E-3
6.918,388.8E-3
7.079,381.4E-3
7.244,374.1E-3
7.413,366.8E-3
7.586,359.7E-3
7.762,352.7E-3
7.943,345.7E-3
8.128,338.8E-3
8.318,332.1E-3
8.511,325.4E-3
8.710,318.9E-3
8.913,312.4E-3
9.120,306.0E-3
9.333,299.8E-3
9.550,293.6E-3
9.772,287.5E-3
10.00,281.6E-3
10.23,275.7E-3
10.47,269.9E-3
10.72,264.3E-3
10.96,258.7E-3
11.22,253.2E-3
11.48,247.9E-3
11.75,242.6E-3
12.02,237.4E-3
12.30,232.3E-3
12.59,227.4E-3
12.88,222.5E-3
13.18,217.7E-3
13.49,213.0E-3
13.80,208.4E-3
14.13,203.8E-3
14.45,199.4E-3
14.79,195.1E-3
15.14,190.8E-3
15.49,186.6E-3
15.85,182.5E-3
16.22,178.5E-3
16.60,174.6E-3
16.98,170.8E-3
17.38,167.0E-3
17.78,163.3E-3
18.20,159.7E-3
18.62,156.2E-3
19.05,152.7E-3
19.50,149.3E-3
19.95,146.0E-3
20.42,142.7E-3
20.89,139.6E-3
21.38,136.5E-3
21.88,133.4E-3
22.39,130.4E-3
22.91,127.5E-3
23.44,124.7E-3
23.99,121.9E-3
24.55,119.1E-3
25.12,116.5E-3
25.70,113.9E-3
26.30,111.3E-3
26.92,108.8E-3
27.54,106.4E-3
28.18,104.0E-3
28.84,101.6E-3
29.51,99.34E-3
30.20,97.10E-3
30.90,94.91E-3
31.62,92.77E-3
32.36,90.68E-3
33.11,88.64E-3
33.88,86.63E-3
34.67,84.68E-3
35.48,82.77E-3
36.31,80.90E-3
37.15,79.07E-3
38.02,77.28E-3
38.90,75.53E-3
39.81,73.82E-3
40.74,72.15E-3
41.69,70.52E-3
42.66,68.92E-3
43.65,67.36E-3
44.67,65.84E-3
45.71,64.34E-3
46.77,62.89E-3
47.86,61.46E-3
48.98,60.07E-3
50.12,58.70E-3
51.29,57.37E-3
52.48,56.07E-3
53.70,54.80E-3
54.95,53.56E-3
56.23,52.34E-3
57.54,51.15E-3
58.88,49.99E-3
60.26,48.86E-3
