Rf,VeffA,VeffB,f,b
10.00E3,25.08E-3,236.1E-3,8.950,13.81
19.00E3,25.08E-3,236.1E-3,4.711,7.438
28.00E3,25.08E-3,236.1E-3,3.196,5.163
37.00E3,25.08E-3,236.1E-3,2.419,3.994
46.00E3,25.08E-3,236.1E-3,1.946,3.283
55.00E3,25.08E-3,236.1E-3,1.627,2.805
64.00E3,25.08E-3,236.1E-3,1.398,2.461
73.00E3,25.08E-3,236.1E-3,1.226,2.202
82.00E3,25.08E-3,236.1E-3,1.091,2.000
91.00E3,25.08E-3,236.1E-3,983.5E-3,1.838
100.0E3,25.08E-3,236.1E-3,895.0E-3,1.705
