freq,v_out,v_in
8.318,535.6E-3,1.000
8.511,527.0E-3,1.000
8.710,518.5E-3,1.000
8.913,509.9E-3,1.000
9.120,501.4E-3,1.000
9.333,493.0E-3,1.000
9.550,484.6E-3,1.000
9.772,476.2E-3,1.000
10.00,467.9E-3,1.000
10.23,459.7E-3,1.000
10.47,451.5E-3,1.000
10.72,443.3E-3,1.000
10.96,435.3E-3,1.000
11.22,427.3E-3,1.000
11.48,419.4E-3,1.000
11.75,411.6E-3,1.000
12.02,403.9E-3,1.000
12.30,396.2E-3,1.000
12.59,388.6E-3,1.000
12.88,381.2E-3,1.000
13.18,373.8E-3,1.000
13.49,366.5E-3,1.000
13.80,359.3E-3,1.000
14.13,352.2E-3,1.000
14.45,345.2E-3,1.000
14.79,338.3E-3,1.000
15.14,331.5E-3,1.000
15.49,324.8E-3,1.000
15.85,318.2E-3,1.000
16.22,311.7E-3,1.000
16.60,305.4E-3,1.000
16.98,299.1E-3,1.000
17.38,292.9E-3,1.000
17.78,286.8E-3,1.000
18.20,280.8E-3,1.000
18.62,274.9E-3,1.000
19.05,269.2E-3,1.000
19.50,263.5E-3,1.000
19.95,257.9E-3,1.000
20.42,252.5E-3,1.000
20.89,247.1E-3,1.000
21.38,241.8E-3,1.000
21.88,236.6E-3,1.000
22.39,231.6E-3,1.000
22.91,226.6E-3,1.000
23.44,221.7E-3,1.000
23.99,216.9E-3,1.000
24.55,212.2E-3,1.000
25.12,207.6E-3,1.000
25.70,203.1E-3,1.000
26.30,198.6E-3,1.000
26.92,194.3E-3,1.000
27.54,190.1E-3,1.000
28.18,185.9E-3,1.000
28.84,181.8E-3,1.000
29.51,177.8E-3,1.000
30.20,173.9E-3,1.000
30.90,170.1E-3,1.000
31.62,166.3E-3,1.000
32.36,162.6E-3,1.000
33.11,159.0E-3,1.000
33.88,155.5E-3,1.000
34.67,152.0E-3,1.000
35.48,148.7E-3,1.000
36.31,145.4E-3,1.000
37.15,142.1E-3,1.000
38.02,139.0E-3,1.000
38.90,135.9E-3,1.000
39.81,132.8E-3,1.000
40.74,129.8E-3,1.000
41.69,126.9E-3,1.000
42.66,124.1E-3,1.000
43.65,121.3E-3,1.000
44.67,118.6E-3,1.000
45.71,115.9E-3,1.000
46.77,113.3E-3,1.000
47.86,110.8E-3,1.000
48.98,108.3E-3,1.000
50.12,105.9E-3,1.000
51.29,103.5E-3,1.000
52.48,101.2E-3,1.000
53.70,98.88E-3,1.000
54.95,96.65E-3,1.000
56.23,94.47E-3,1.000
57.54,92.34E-3,1.000
58.88,90.25E-3,1.000
60.26,88.22E-3,1.000
61.66,86.22E-3,1.000
63.10,84.28E-3,1.000
64.57,82.37E-3,1.000
66.07,80.51E-3,1.000
67.61,78.69E-3,1.000
69.18,76.91E-3,1.000
70.79,75.17E-3,1.000
72.44,73.47E-3,1.000
74.13,71.81E-3,1.000
75.86,70.18E-3,1.000
77.62,68.59E-3,1.000
79.43,67.04E-3,1.000
81.28,65.52E-3,1.000
83.18,64.03E-3,1.000
85.11,62.58E-3,1.000
87.10,61.16E-3,1.000
89.13,59.78E-3,1.000
91.20,58.42E-3,1.000
93.33,57.09E-3,1.000
95.50,55.80E-3,1.000
97.72,54.53E-3,1.000
100.0,53.30E-3,1.000
102.3,52.09E-3,1.000
104.7,50.90E-3,1.000
107.2,49.75E-3,1.000
109.6,48.62E-3,1.000
112.2,47.51E-3,1.000
114.8,46.44E-3,1.000
117.5,45.38E-3,1.000
120.2,44.35E-3,1.000
123.0,43.34E-3,1.000
125.9,42.36E-3,1.000
128.8,41.40E-3,1.000
131.8,40.45E-3,1.000
134.9,39.54E-3,1.000
138.0,38.64E-3,1.000
141.3,37.76E-3,1.000
144.5,36.90E-3,1.000
147.9,36.06E-3,1.000
151.4,35.24E-3,1.000
154.9,34.44E-3,1.000
158.5,33.66E-3,1.000
162.2,32.89E-3,1.000
166.0,32.14E-3,1.000
169.8,31.41E-3,1.000
173.8,30.70E-3,1.000
177.8,30.00E-3,1.000
182.0,29.32E-3,1.000
186.2,28.65E-3,1.000
190.5,28.00E-3,1.000
195.0,27.36E-3,1.000
199.5,26.74E-3,1.000
204.2,26.13E-3,1.000
208.9,25.54E-3,1.000
213.8,24.96E-3,1.000
218.8,24.39E-3,1.000
223.9,23.83E-3,1.000
229.1,23.29E-3,1.000
234.4,22.76E-3,1.000
239.9,22.24E-3,1.000
245.5,21.74E-3,1.000
251.2,21.24E-3,1.000
257.0,20.76E-3,1.000
263.0,20.29E-3,1.000
269.2,19.83E-3,1.000
275.4,19.38E-3,1.000
281.8,18.93E-3,1.000
288.4,18.50E-3,1.000
295.1,18.08E-3,1.000
302.0,17.67E-3,1.000
309.0,17.27E-3,1.000
316.2,16.88E-3,1.000
323.6,16.49E-3,1.000
331.1,16.12E-3,1.000
338.8,15.75E-3,1.000
346.7,15.39E-3,1.000
354.8,15.04E-3,1.000
363.1,14.70E-3,1.000
371.5,14.36E-3,1.000
380.2,14.04E-3,1.000
389.0,13.72E-3,1.000
398.1,13.41E-3,1.000
407.4,13.10E-3,1.000
416.9,12.80E-3,1.000
426.6,12.51E-3,1.000
436.5,12.23E-3,1.000
446.7,11.95E-3,1.000
457.1,11.68E-3,1.000
467.7,11.41E-3,1.000
478.6,11.15E-3,1.000
489.8,10.90E-3,1.000
501.2,10.65E-3,1.000
512.9,10.41E-3,1.000
524.8,10.17E-3,1.000
537.0,9.939E-3,1.000
549.5,9.712E-3,1.000
562.3,9.491E-3,1.000
575.4,9.275E-3,1.000
588.8,9.064E-3,1.000
602.6,8.858E-3,1.000
616.6,8.656E-3,1.000
631.0,8.459E-3,1.000
645.7,8.267E-3,1.000
660.7,8.078E-3,1.000
676.1,7.895E-3,1.000
691.8,7.715E-3,1.000
707.9,7.539E-3,1.000
724.4,7.368E-3,1.000
