Cf,VeffA,VeffB,f,b
20.00E-12,24.62E-3,313.5E-3,2.885,5.478
38.00E-12,24.62E-3,313.5E-3,1.518,2.908
56.00E-12,24.62E-3,313.5E-3,1.030,1.982
74.00E-12,24.62E-3,313.5E-3,779.6E-3,1.505
92.00E-12,24.62E-3,313.5E-3,627.1E-3,1.214
110.0E-12,24.62E-3,313.5E-3,524.5E-3,1.019
128.0E-12,24.62E-3,313.5E-3,450.7E-3,879.2E-3
146.0E-12,24.62E-3,313.5E-3,395.1E-3,774.0E-3
164.0E-12,24.62E-3,313.5E-3,351.8E-3,692.2E-3
182.0E-12,24.62E-3,313.5E-3,317.0E-3,626.9E-3
200.0E-12,24.62E-3,313.5E-3,288.5E-3,573.6E-3
